0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/134.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/139.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/141.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/138.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/140.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/137.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/20.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/19.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/21.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/22.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/25.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/26.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/27.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/29.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/28.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/33.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/30.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/31.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/32.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/35.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/36.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:47 +0900] "GET /mini/images/Food/39.jpg HTTP/1.1" 304 -
